Upload Audio,output,flag,username,timestamp
/Users/pranav/Git/Speech-to-gesture/demo/flagged/Upload Audio/dde0914912941ac2eecb337d10eb6319defddf6d/tmp8hewv2ql.wav,,,,2023-06-29 15:10:09.541750
/Users/pranav/Git/Speech-to-gesture/demo/flagged/Upload Audio/597dae43950c7ac66dc4c91d20dfabba2c7fedb7/tmphx95jhs7.wav,/Users/pranav/Git/Speech-to-gesture/demo/flagged/output/11a485aa69fa02f949621ccea4f7bb53e6f910d7/Gesture_Video.mp4,,,2023-06-29 15:18:05.434585
